,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,US,35653240,R2Z9TCKTU2XSOQ,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,1,6,7,N,Y,I had great difficulty in getting my gift card to work,"I had great difficulty in getting my gift card to work; in addition, the person that I talked to at Amazon.com tried to convince me that my gift card had NOT been loaded twice, when in reality it had been.  It took SEVERAL days to sort out the problem and get my product ordered; I may use Amazon.com to shop in the future, but I will NEVER use a gift card from Amazon.com again!",16677.0
1,US,152135,RDQH0YA93T1QH,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,1,7,8,N,Y,"Not happy""(","Very bad online system, always too complicated security actions and then it lands with a general interface with not adapted interface for pads. Really hope they will improve their concept, also the support is not that good. Sorry, desapointed comparing to other online services alike.",16676.0
2,US,11872728,RSGTAXX09D4O2,B00ADR2XIC,743153911,Amazon.com Gift Card in a White Gift Box (Classic White Card Design),Gift Card,1,7,7,N,Y,Disappointed,Cute box but mine looks like its been walked all over! How did no one see this before sending it out! Truly disappointed!!,16675.0
3,US,4551295,R2HB9NOPY4I2X1,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,1,8,9,N,Y,Feedback - Amazon gift card balance reload,Unfortuantely it has been problematic. I thought it would allow me to purchase e-books for my kindle however it isnt allowing me to. It looks like I can only use it to purchase hard copy books.,16671.0
4,US,1720931,R1LOYPSI37UN9U,B0080IR4MQ,676326750,Amazon.com Gift Card in a Brown & Blue Tin (Classic Blue Card Design),Gift Card,1,6,6,N,Y,Everything I expected except for the $10. 00 credit ...,Everything I expected except for the $10.00 credit I was supposed to earn by buying $50.00 worth of gift cards. That's why only one star.,16669.0
5,US,167348,R2ZB78BDM8BRCF,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,99,113,N,Y,Scammed,You should have a way to reclaim the purchase I was scammed out of a product so I wish this feature was introduced,16660.0
6,US,52797306,R34ZTAD5RRO0KS,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,1,11,14,N,Y,Wasted Money,"For the first time, I loaded some money on a &#34;gift card&#34; to send away for a purchase I planned to make. I decided against the purchase. I wanted to use the money for a purchase on Amazon.com but I have no plastic card with a 13 or 15 or other digit number, which seems to be the only way to access the funds.  I won't be loading any more money or buying from Amazon.com any time soon.",16652.0
7,US,10570951,RVAWRKSADPYJ2,B00JDQJVF2,255898874,Amazon.com Gift Card in a Birthday Cupcake Tin (Birthday Cupcake Card Design),Gift Card,1,7,18,N,Y,One Star,Thought it would taste like a cupcake. Total let down,16645.0
8,US,20309797,RCSWA0F6I9BEM,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,8,9,N,Y,On my second try it was sent but it was supposed to be for an anniversary gift and it said happy father's day,I was upset about the gift card because the first card one was not sent when it was supposed to be sent.  On my second try it was sent but it was supposed to be for an anniversary gift and it said happy father's day!!!!,16644.0
9,US,44047502,RUVL6F5ISBS2H,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,1,6,7,N,Y,Not only are the gift card reloads nice for me to replenish my granddaughter's card periodically but ...,Not only are the gift card reloads nice for me to replenish my granddaughter's card periodically but it also works for me.  Reloading an amount once saves me using my credit card multiple times.,16638.0
10,US,12812494,R1RFF88CQRGUKS,B005FGQI2I,379368939,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,1,6,7,N,Y,Not what they said,"I ordered these on prime day. The cards showed up really fast like it said it would.  Love that. However,  there was supposed be a $10 promotional code. Didn't get one. I will use the cards because they are for the same value I paid for them.  Just not happy they didn't come with the promised promo code.",16634.0
