,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,US,20761040,R11IBSD5E6HPSD,B002B3FWXY,677901073,Travelon Anti-Theft Classic Messenger Bag,Luggage,1,29,31,N,Y,"This bag was on my shoulder and it just fell to the ground.,  At first I thought someone had snatched it but it just snapped.",The strap broke!!!  It was supposed to be anti-theft and the strap broke off. It didn't break until I returned from Europe last September.  I still have the bag in my closet.  I didn't return it because I didn't have the info to return it.  I will take my chances on another brand... this one was a big disappointment.,16678.0
1,US,29930877,R1EG2NB22BRS1A,B003U8D5HY,894037674,Traveler's Choice Amsterdam 4-Piece Luggage Set,Luggage,1,6,6,N,Y,You get what you pay for,Went on one trip and two bags started to come apart before my trip ended.,16677.0
2,US,25659538,R33FFKFYFU92PR,B00M7BGYLO,446700022,"26"" Men's Genuine Leather Vintage Duffle Gym Large Travel Weekend Luggage Bag",Luggage,1,35,48,N,Y,When this bag arrived it looked beautiful. However,"When this bag arrived it looked beautiful. However, after around 2 months (after the return period) the leather wax that was used to make it &#34;look&#34; pretty started weeping out of the leather and turning the bag a cloudy grey. I have not been able to even use the bag because I am afraid all of the oil that is coming out of the leather will ruin my clothes!!! Major ripoff!!!  Be warned about this seller!",16677.0
3,US,35947407,R1DWZ2W9RHAWRD,B00CR23YIE,638549871,"Totes Raines Auto Open/Close Mini Travel Umbrella, 32-Inch Canopy",Luggage,1,8,9,N,Y,The umbrella broke after the first use after a wind ...,The  umbrella broke after the first use after a wind gust. Big disappointment,16676.0
4,US,34380115,R3FBIKPD38G8GU,B00IOXA8B6,424720799,Samsonite S'Cure Spinner 28,Luggage,1,10,12,N,Y,Piece of JUNK.,"Just returned from a trip with this suitcase which was a disaster. There were no included instructions for the lock mechanism or the name tag slot, neither of which I cd get to work before leaving. When I arrived at my destination, tony horror, I found that the lock was engaged and I was unable to access my belongings inside the suitcase. After several hours of fiddling with the thing, calling customer service (and not getting any help from them), etc, I finally had to drive all the way back to the airport, where a TSA agent used a master key to eventually open the suitcase. The lock was actually broken, and had to be jimmied open - and it is now completely wrecked. As it has been more than 30 days since purchasing this piece of junk, I'm stuck with an unusable piece of luggage and I'm out well over a hundred dollars. Extremely disappointed...",16676.0
5,US,50237845,R2YGCTPT3TH9N8,B00QNAJ4MQ,843737466,Mosey by Baggallini The Bucket Convertible Backpack,Luggage,1,19,22,N,Y,good for giving other people your stuff.,Wearing a purse as a backpack that does not close is inviting people to easily pick pocket everything hanging open behind you.  Making a purse that does not close is inviting the easy loss of items if the purse accidentally tips over.  I now need to replace items that I have lost from using this bag and the purse because I refuse to use it further.  Design needs to be functional.  A purse and/or backpack that does not close is not functional.,16676.0
6,US,28553148,R2Q3HCPXG31PH1,B00SXKUKK4,155786156,"AmazonBasics 4-Piece Packing Cube Set - Small, Medium, Large, and Slim",Luggage,1,1,20,N,Y,Picture misleading. All but the biggest one (not sure ...,"Picture misleading.  All but the biggest one (not sure of that one)  are full of HOLES (presumably for seeing through and, who knows?, aeration?), -- allowing dust, bugs, dirt -- whatever. They should of put colored items inside so this would be obvious!  Sending mine back, pronto!",16676.0
7,US,25649908,R1P58EFSM3G1L8,B00FP5VKY0,72918447,Komal's Passion Leather 18 Inch Messenger Laptop Shoulder Briefcase Office Bag,Luggage,1,17,19,N,N,"Poor construction, great appearance","Very poorly made. While this bag looked very good in the pictures and in person when I first received it, it started coming apart after 4 uses, one day taken as a briefcase on a one-day plane trip and three days carrying a few small books in college.<br /><br />-I've had to replace the strap already which, because it was made from several pieces of leather that were sewn together rather than one long piece, has already started stretching and splitting apart at it's stitch seams without the bag even being very full or weighed down.<br /><br />-The general construction of the bag is not very sturdy either, with the whole of it buckling inward from any books weighing it down due to there being not much in the way of overall support.<br /><br />-Do not use the handle at the top as it will force its single closure strap to bear all the weight of the bag and will stretch, and eventually tear, the buckle holes.<br /><br />It's a shame really, because I really liked (and still like) the appearance and layout of the bag. With just a few design changes with respect to the materials it's made of would make it a great bag. But, for the price, it's unfortunately a very poor piece of work.",16676.0
8,US,47542858,RXFT62CCX38CH,B004FMFU9K,932798405,"Rockland Four-Piece Impact Spinner Luggage Set (18""/22""/ 26""/30"")",Luggage,1,22,25,N,Y,Awful: broke before first use without anything in it!,"I'm very disappointed. My fiancée and I bought these to use on our honeymoon. I was carrying the largest one to my room in order to pack. The side handle broke for no apparent reason and with no weight in it. Now my fiancée and I have nothing to use for our honeymoon, considering our money was used to buy this awful piece of craftsmanship. I'm very disappointed in the product to break before it's actually been used and in Amazon to be selling such a piece of junk.",16675.0
9,US,14363294,R1YRDPW9EKEMFF,B00RS5MYY0,955025893,Joe's USA Small Gym Bag Duffle Workout Sport Bag- Travel Carry on Bag,Luggage,1,6,7,N,Y,Yucky doo doo,"With under 5lbs, the sewn on strap tore off. Do yourself a favor, and hit the esc button",16675.0
10,US,29465916,RVJ5L0V84QHI9,B006HMPV90,283006789,Everest Cooler Lunch Bag,Luggage,1,24,26,N,Y,"Dirty, Ripped, Gross!!  Look at the pics.","This is what was delivered today. Gross, dirty, ripped piece of junk.",16675.0
11,US,23985344,R2BBZ03RFOS3ZY,B00UR5F3Z0,887027723,FOR U DESIGNS 15/18 inch 900D Laptop Backpack for Women Men Teen Girls Boys,Luggage,1,4,12,N,N,Images of cats/dogs stuck in a washing machine are sick and not funny!!!!!!!!!!!!!!!,"This image of a scared dog about to drown in a clothes washing machine is not funny and should be be on any product! This same company makes other purse/backpacks with cute and normal images. This set of backpacks with pictures of kittens, cats, dogs, puppies being stuck in a washing machine filling up with water, is nothing but sick and promotes the idea that animal cruelty is funny when it is not! I continue to post this review and my post is repeatedly, purposely not posted, even though I am merely stating the truth! I would rate this less then 1 star if possible and have asked amazon to take down these product images down, because they are sad and disturbing to me, my child and countless others.",16675.0
12,US,40785306,R8XMXF8M707L2,B00EHKQ6CU,217484114,Samsonite Drop Bottom Wheeled Duffel 32,Luggage,1,10,11,N,Y,High Ratings for this Bag are a CROCK,"This bag is a hunk of junk. My son took it on one trip and on the first leg when he arrived, the fabric that separates the top and the bottom compartment (that is very thin and flimsy) ripped from the seams. It wasn't even packed to the hilt because we purposefully left space for things that he may buy at his destination and bring back. Very very disappointed that Samsonite would make such poor quality product. Literally ONE USE and it was done.",16675.0
13,US,17825313,R2V0N5O2HYY1UE,B005N4763C,68235089,"Everest Luggage Sporty Gear Bag - Large, Black, Black, One Size",Luggage,1,6,6,N,Y,Very disappointed.,"Do Not buy this.  It is a POS.  The first time we used it, the shoulder strap ripped out.  It says there is a &#34;lifetime&#34; warranty, but, we have to pay to mail it back AND send a check for them to mail it back to us.  That totaled more than we paid for it.  Wrote to the company and they never responded.  Very disappointed.",16674.0
14,US,1211291,R1A75HAI9Q04WV,B00Z9NV81I,63474760,SENPAIC Canvas Laptop Backpack Men Computer Backpack for College,Luggage,1,8,9,N,Y,product faulty after 4 days use,Purchased this and used it for four days main zipper compartment broke after just four days sadly disappointed,16674.0
15,US,21194871,R3KJ1WYMXKZ1H7,B00DVIF8DW,456194987,American Tourister Luggage Fieldbrook II 4 Piece Set,Luggage,1,5,7,N,Y,Luggage Torn After One Trip,"Previously a huge fan of American Tourister. This is either a cheap knock-off or they've just reduced their quality a great deal. I suppose you get what you pay for, and I thought this deal seemed too good to be true, but my large bag has already ripped after one trip. All pieces of the luggage feel cheaply made and are not well-insulated. Be sure to mind the other negative reviews of this product, I read several of them but worried they were just competitors or people looking to rant. They were correct, this is far from the solid quality I've come to expect from American Tourister. Buy at your own risk.<br /><br />Very disappointed in AT and will likely never buy anything of theirs again.",16674.0
16,US,14610048,R1CHRWFKXYYKLR,B00LJKK13Q,661490923,S-ZONE Oversized Canvas Genuine Leather Trim Travel Tote Duffel Shoulder Handbag Weekend Bag,Luggage,1,13,18,N,Y,"Very sad, it looked like it was great quality but ...","Came without a shoulder strap. Asked to have one sent and they couldn't so I had to return the whole thing.<br />Very sad, it looked like it was great quality but I wouldn't risk ordering again.",16674.0
