,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,US,40963441,R2JK5Y8D5MXAGP,B00SU7B0JK,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,1,5,121,N,Y,Buyer Beware - Cables Stop Working in just a couple DAYS!!!,"I've bought a lot of products on Amazon...like we purchase several times a week.  In most cases, we get what we expect.  I was skeptical in purchasing these and saw mixed reviews, but these guys claim to be &#34;Apple MFI Certified&#34; and are &#34;genuine&#34;.  Well...BUYER BEWARE!<br /><br />I purchases these in early July, one for each vehicle so we can keep our phones charged.  I bought them when I did because we were going to take a family trip and I wanted to have something in the car to keep devices charged on the go.  I received these two days before we left, but really didn't get to use them until the trip.  Then, just two days in to the trip, the pins on both sides turned black and the cable STOPPED working.  I'm not sure if I did something wrong, but other cables I've used in the same way (especially the one that came with my iPhone 5c) have worked WITHOUT ISSUE.  Needless to say, just two days in to our trip and we are down a cable, I was more than a bit peeved.<br /><br />If you purchase these from this seller, it is at your own risk and will be a complete gamble.  I highly recommend to keep looking and steer clear of these guys.  The worst part now, is that I have passed the one month window to return these because once back from my trip, I've had to deal with some work emergencies.  So I've basically just wasted my hard earned money on garbage, with no more option for refund.",16677.0
1,US,27470887,R36E4H31GBXB37,B00IF0OULW,38137971,Baccus Global LLC PC509 Stanley 500W Inverter (STA-PC509),Mobile_Electronics,1,5,7,N,N,Low voltage output,I have had this unit for a couple of years.  I bought it to run and portable oxygen concentrator while on the road since the 12v aux feed from my Prius does not provide the amps needed.  It has worked fine on a couple of road trips.  Just today I put a high quality volt meter on the ac output and was astonished to find that it only put out 90v.  Under load or no load.  With this low voltage there is a potential to damage any electronics that expects the ac voltage to be in the range of 105v - 125v.  This is why I gave it only one star.,16674.0
2,US,20748624,RJ83T6A0CA7L8,B00K98535A,462663082,Pioneer TS-SW2002D2 8-inch Shallow-Mount Subwoofer with 600 Watts Max Power,Mobile_Electronics,1,0,11,N,Y,Not a true wattage rating!,This sub is not 600 Watts Max so if you think its a good deal then you better not drive it with over 250 Watts or you will blow it like I did with 500 Watts. The spec is very misleading.,16674.0
3,US,21332512,RITAPPDZWSPE,B00PUEX0HG,614601655,"Pioneer Gm-D9601 2,400-Watt Class D Mono Amp",Mobile_Electronics,1,2,14,N,Y,This amp honestly sucks I've had two of this same amp now,"This amp honestly sucks I've had two of this same amp now, the first one burned my subwoofers than caught on fire itself, and this current one burned my subwoofers that have a higher Wattage than the amp can produce and the bass level on the amp is set to its lowest setting, I just bought a new amp to replace this one and went back with Sony like I use to use before I had this amp the sound quality is much greater and a lot more clear still using the same subwoofers too the warranty on them replaced them for me and the new amp I can set the bass level up higher without it damaging my subwoofers.",16674.0
4,US,23616875,R1H5Y9Z2DHRNVO,B00LAG4HN4,536367292,"iXCC Element II Lightning Cable 6ft, iPhone Charger, for iPhone 7 6s 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](White and Black)",Mobile_Electronics,1,4,95,N,Y,"Great design, Terrible quality","I wanted to love these sunglasses. They were a perfect fit for my face and looked great. The lenses were indeed polarized and worked well for cutting sun glaze.<br /><br />However, after just 3 wears (one week from receiving them), a screw fell out leaving my glasses broken.<br /><br />Obviously, at $10 I was not expecting these things to be indestructible, but to break after 3 wears is just unacceptable.",16673.0
5,US,31418346,R3SOHUWC5F95Q7,B00WVTHNPI,23137974,BeoPlay A2 Black Copper,Mobile_Electronics,1,4,15,N,Y,Worst decistion I ever made,"Dont buy this product, dosent sound 24 hours not even 2 hours. They lie, missleading advertsing<br /><br /> Im on vacation birthday trip and this thing is a totally mess. i used to be a bose user and I make tha change to a beoplay A2. Worst decistion I ever made.",16673.0
6,US,45101321,R1JP6MNSIT0U2D,B012C5XYHQ,869734493,"Apple Ipod Nano 7th Generation, 16GB, Silver, Non Retail Packaging",Mobile_Electronics,1,5,6,N,Y,Could not get the item to turn on....just blank screen,"The first time I ordered this Ipod, it came without instructions, which was not too big of a problem; however, the Ipod would not turn on, even after charging. I ordered a replacement, and the same issue occurred. I did not care about receiving the &#34;retail&#34; packaging, and it appeared that it might be worth the small savings to order this product, but to no avail. Neither of the two Ipods received were able to be turned on...screen just remained blank, even after charging. Sorry to have to return this product.<br /><br />http://www.amazon.com/gp/product/B012C5XYHQ?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00",16673.0
7,US,11491447,R327ERFWDV0QKV,B011W26BU2,938399424,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,1,1,15,N,Y,Poor sound quality and volume levels,"I was greatly disappointed by the lackluster sound quality and volume level of this device. The design is nice but the volume control seems to have issues, as my &#34;volume up&#34; button didn't seem to work. Returning the item. I do not recommend. I replaced this speaker with the Sentey Bluetooth Speaker 4.0 B-trek S8 for $15 more and I am blown away by the difference between the products. SoundPal is a waste of money and I definitely recommend spending the extra $15 for the Sentey speaker!",16672.0
8,US,46795920,R1MEVDQTY3TXEA,B012HC7C5O,813889119,Beats by Dr. Dre Pill - Blue,Mobile_Electronics,1,7,7,N,Y,Dissatisfied,"The item I received was not as described.  It is not the newest model with the reverse charging capabilities.  In fact, I'm sure this is a fake Beats Pill.  The sound is not as loud or clear as the real one.  After 3 hours of charging it still wasn't fully charged.  The charging cord and auxiliary cord are of very poor quality and do not have the beats logo.  The weight is lighter than the real Beats.  If I knew I was purchasing a fake, I definitely would not have paid as much as I did.  DO NOT BUY!",16671.0
9,US,17538571,R1XSWSLUNYSS9F,B00JZQUE3S,211745648,"PIONEER AVIC-U260 Add-on Navigation Unit for All 2012, 2013, and 2014 Nav-Ready AVH Units",Mobile_Electronics,1,3,6,N,Y,my 07 infiniti beats the avicu260 blindfolded will not recommend,1. does not give the most direct route correctly even though it's programmed to just with latest updates. This is major a route i've driven for the past 20 plus years.<br />2.way too many in and out signal even when far from structures.<br />my 07 infiniti beats the avicu260 blindfolded<br />will not recommend,16670.0
10,US,29092404,R1LK03P7BCJEJD,B00YO3UYXW,913911909,Jensen MCR-100 Cassette Player/Recorder 1 Touch Recording with Headphone Jack & Aux Line-in,Mobile_Electronics,1,31,35,N,Y,One Star,"Playback is distorted, and there is no counter.",16669.0
11,US,46117227,R169YO5F320WQD,B00XJJU4SC,965917258,Juentai JT-6188 Dual Band VHF/UHF 136-174/400-480MHz VHF 25Watt UHF 20Watts Dual Band Two Way Radios Mobile Transceiver Walkie Talkie,Mobile_Electronics,1,6,7,N,Y,Horrible receiver. Don't waste your money.,"Do not waste your money !  Realizing that you really don't get too much for the cheap price, this radio was not even worth the $99. It seemed like a nicely built piece of equipment, but the performance of the receiver was really bad.  It measured very sensitive on the bench, but mobile operation was impossible.  Most signals would break up with some sort of low frequency &#34;motorboating&#34;.  Any time there was any mobile flutter on the signal, the audio would break up badly.  I tried to use it as a fixed station, but there were spurious blips and sputter that were traced to strong signals 16 Mhz away..  It was always breaking squelch and noisy. The microphone audio on transmit was horrible.  I went to return the radio, but found I had missed the deadline by 5 days, so now I have a $99 item for the trash barrel.",16669.0
12,US,33177916,RBXUICKGHL685,B00YO3UYXW,913911909,Jensen MCR-100 Cassette Player/Recorder 1 Touch Recording with Headphone Jack & Aux Line-in,Mobile_Electronics,1,48,52,N,N,Chewed up within seconds the first two tapes I played!,Terrible!!  Chewed up the first tape I tried within a few seconds!  Figured maybe it was a bad tape - so tried another one - that I had also used before on other players - it also got chewed up within seconds!  I did not try further.  Customer Service says it's a new product - ship it back and they'll replace it.,16668.0
