,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,US,41241281,R3IFOUP91E23CZ,B00A6I3KJY,214057274,Philips Sonicare Diamondclean Electric Toothbrush BULK Packaging (Charger),Personal_Care_Appliances,1,8,8,N,Y,55 dollars for a glass cup??,"I received only the glass cup, nothing else, no charger, no USB cord, only the glass cup!!",16676.0
1,US,16316621,R14V2L6H9T9J0E,B00HES9CMS,318730927,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,1,0,13,N,N,would have loved to try,"I was unable to receive the coupon code, despite several attempts. would have loved to try. maybe next time.",16675.0
2,US,21603299,RLZNJYA7184MS,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,3,8,N,Y,Not for me,"Unless one has to take it over an extended period of time, this product had absolutely no effect.",16674.0
3,US,16595613,R3R47NUXU6FKCO,B00XINYPX4,863833278,Wowly High Heel Protectors for Shoes - Set of 2 Heel Savers (Narrow & Classic) - Walk & Dance on Grass or Sand with Safety on High Heels - Perfect for Party & Wedding Accessory,Personal_Care_Appliances,1,5,6,N,Y,I was not pleased that these things did not do their job and ...,"They fit well onto my heels for a wedding in the grass. I tested them out a little bit and packed up my shoes for the trip. Not even 30 minutes into the event, both heels pushed straight through the &#34;protectors&#34; and one of the heels is really scuffed up, with visible scratches on it. I was not pleased that these things did not do their job and actually damaged my shoes instead.",16671.0
4,US,18812007,R3IQ0TVQL0EU3Q,B000KIJMG0,618949991,Memory Foam Face Cradle With Fleece Sherpa Cover,Personal_Care_Appliances,1,5,6,N,Y,Disappointing waste of money,"I bought this face cradle a couple of years ago; never found a client who liked it and finally returned to my original plain Oakwroks face cradle last year.  It's big and squishy, but not enough breathing space for most and too much for others who felt their faces &#34;falling through&#34;; others complained of not being able to get their necks comfortable.  I have added it to my rummage.",16668.0
5,US,19214268,RGCUQSH80SYY7,B00H8ZTLLY,548146182,doTERRA On Guard Essential Oil Protective Blend Beadlets 125 ct,Personal_Care_Appliances,1,36,47,N,N,These are natural? Migraineurs beware!,After carrying these around for weeks and using them constantly I finally had the presence of mind to actually read the ingredients. What a shock to see that these &#34;natural&#34; beadlets have carrageenan and sodium alginate in them. I'm n the strictest diet possible for migraines and I'm consuming a &#34;natural&#34; product that contains 2 of the biggest migraine triggers. Super!! Done with DoTerra!!,16665.0
6,US,46348070,RIER6XQ51IXBD,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,2,6,N,Y,One Star,it doesn't work,16662.0
7,US,17113645,R3D5YQ7LSDXXR3,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,5,13,N,Y,One Star,Did nothing..positive reviews only because they offer free bottle,16662.0
8,US,696420,R2SIFY76LJXCKY,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,7,13,N,Y,One Star,False advertising never got my free bottle,16662.0
9,US,37366898,R14UME474P03SL,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,6,15,N,Y,One Star,Have not experienced any noticeable results.,16661.0
10,US,1843395,RRKAST7D4QTW8,B0006VJ6TO,412568457,Body Back Company’s Body Back Buddy Trigger Point Therapy Self Massage Tool - PARENT,Personal_Care_Appliances,1,20,27,N,N,Defective,The knob that is shaped like a rainbow has a seam that sticks out and scratchs your skin when you use it.,16655.0
11,US,52831710,R3R2XA7EASLMQS,B00R5PT0H2,281777718,Happy Hours - 3 Pcs Universal Double Layers Durabe & Razor Sharper Electronic Shaver Head Cutter Replacement for Philips Norelco HQ3 HQ56 HQ55 HQ442 HQ300 HQ916,Personal_Care_Appliances,1,6,6,N,Y,Junk,"I have an old Norelco razor that takes HQ6 blades that I've been trying to extend the life of without having to buy new replacement heads, since a new razor would cost about as much. Unfortunately, these just don't work very well, possibly because they don't fit well either. I ended up stopping half way through and switching to my old blades which must be maybe five years old now, and they worked better than these. These kinds of blades are self-sharpening so as long as you clean them they'll still work reasonably well, though never quite as good as when they were new.",16655.0
12,US,36827506,RR6DKZ0LFZQJ9,B005PGFAOU,362834522,Readers Microvision W-Case 1.50,Personal_Care_Appliances,1,7,7,N,N,"I under to love these, but quality is now terrible","I used to love these, I must have bought at least 10 of them, over the last 3 years, but the 3 recent purchases have all resulted in the tips of the stems falling off and the end of retractable arm falling out.  Really really disappointed in this company, who seem to have no interest in replying to customer complaints.",16655.0
13,US,149744,R3U5XHW673H2OR,B00OSEXWM2,561244101,doTERRA Slim & Sassy Essential Oil Metabolic Blend Softgels 90 ct,Personal_Care_Appliances,1,1,7,N,Y,I really don't like taking a lot of pills so would not recommend,Works but only for a very short time for me. I really don't like taking a lot of pills so would not recommend.,16650.0
14,US,256120,R2J8JZTP90L8CS,B00ECV3XG6,914504759,Icetek Sports Folding Butterfly Flail Comb,Personal_Care_Appliances,1,7,8,N,Y,AWFUL!,"It works great! The return button, that is. This thing is a total benchmade knockoff that breaks within an hour of use, I kid you not. Don't buy it.",16646.0
15,US,9640645,R2XW3MM2CIV03Z,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,1,5,11,N,Y,No noticeable results,"I've been using this for 2 weeks, and I have not noticed any difference in anything.  We'll see what happens by the time I finish the bottle.",16646.0
